繁體中文,简体中文,英文,註解
免費,免费,free,
剩餘,剩余,free,
自由格式模型,自由格式模型,free-form modeling,
常見問題集,常见问题集,frequently asked questions,
週五,周五,friday,
Friend 函式,友元函数,friend function,
friend,友元,friend,
易記名稱,易记名称,friendly Name,
前端,前端,front end,
檔案傳輸通訊協定,文件传输协议,ftp,
完全控制元件,完全控制组件,full control component,
完全 DV 品質,完全 DV 质量,full dv quality,
完全連結,完全链接,full link,
全模組檢視,全模块查看,full module view,
完整外部聯結,完整外部联结,full outer join,
完整路徑名稱,完整路径名称,full qualified path,
全螢幕模式,全屏方式,full screen mode,
全螢幕,全屏,full screen,
全特化,全特化,full specialization,
全部,全部,full,
完整畫面,完整帧,full-frame,
完全品質擷取,完全质量采集,full-quality capture,
全伺服應用程式,全伺服应用程序,full-server application,
全伺服程式,全伺服程序,full-server,
全形,全角,full-shaped,
完整類別名稱,完整类名称,fully qualified class name,
函式主體,函数主体,function body,
函式呼叫,函数调用,function call,
函式呼叫計數,函数调用计数,function counting,
函式涵蓋範圍,函数涵盖范围,function coverage,
函式宣告,函数宣告,function declaration,
函式定義,函数定义,function definition,
功能鍵,功能键,function key,
函式物件,函数对象,function object,
函式多載決議程序,函数重载解决方案,function overloaded resolution,
函式多載化,函数多载化,function overloading,
函式覆寫,函数覆盖,function overriding,
函式概況表,函数概况表,function profiling,
函式範圍,函数范围,function scope,
函式集,函数集,function set,
函式模板,函数模板,function template,
函式執行時間,函数运行时间,function timing,
功能,功能,function,
函式,函数,function,
函式階層連結,函数阶层链接,function-level linking,
函式原型範圍,函数原型范围,function-prototype scope,
功能群組,功能组,functional group,
功能精靈,功能向导,functional wizard,
功能,功能,functionality,
仿函式,仿函数,functor,
主要資料類型,主要数据类型,fundamental type,
假名註解,假名备注,furigana,
未來值,未来值,fval,
保證,保证,garantee,
記憶體回收行程,内存回收行程,garbage collector,
通訊閘,网关,gate,
閘道器,网关,gateway,
一般性保護錯誤 (GPF),常规性保护错误 (GPF),general protection fault,
一般,常规,general,
一般用途,常规用途,general-purpose,
產生器,生成器,generator,
通用類別設定,通用类设置,generic Class setting,
通用建立者,泛用创建者,generic Creator,
通用演算法,通用算法,generic algorithm,
通用複合型 Moniker,通用复合型 Moniker,generic composite moniker,
通用,通用,generic,
取回區,取回区,get area,
取回區指標,取回区指标,get pointer,
全域預設值,全域默认,global default,
全域物件,全域对象,global object,
全域最佳化,全域优化,global optimization,
全域規則,全域规则,global rule,
全域腳本,全域脚本,global script,
全域樣式工作表,全域样式工作表,global style sheets,
全域變數,全域变量,global variable,
全域,全域,global,
圖形快取,图形缓存,glyph cache,
圖像,图像,glyph,
良好品質,良好质量,good quality,
良好,良好,good,
前往,转到,goto,
抓取控點,抓取控点,grab handles,
抓取視訊幀,抓取视频帧,grab video frame,
抓取,抓取,grab,
抓取的幀,抓取的帧,grabbed frame,
等級名稱,等级名,grade name,
總計,总计,grand total,
圖形物件,图形对象,graphic object,
重疊字幕,重叠字幕,graphic overlay,
圖形使用者介面GUI,图形用户介面GUI,graphic user interface,
字幕,字幕,graphic,
圖形外觀,图形外观,graphical appearance,
圖形交換格式 (GIF),图形交换格式 (GIF),graphics Interchange Format,
圖形裝置介面 (GDI),图形设备介面 (GDI),graphics device interface,
繪圖陳述式,绘图陈述式,graphics statement,
圖形,图形,graphics,
變灰的核取狀態,变灰的核取状态,grayed check value,
變灰的功能表項目,变灰的菜单项,grayed menu item,
灰階,灰度,grayscale,
格線配置,格线配置,grid Layout,
方格控制項,方格控件,grid control,
方格,方格,grid,
格線,格线,grid,
移駐夾列,移驻夹列,gripper bars,
群組依據,组依据,group by,
群組清單,组列表,group list,
群組成員,组成员,group members,
群組重新命名,群组重命名,group rename,
群組方塊控制項,组方块控件,group-box control,
保證,保证,guarantee,商品、軟硬體保證
程式碼保護區間,程序代码保护区间,guarded body of code,
保護區段,保护区段,guarded section,
圖形使用者介面 (GUI),图形用户介面 (GUI),gui,
GUID,GUID,guid,
方針,方针,guideline,
波斯灣,海湾,gulf,
駭客,黑客,hacker,
硬體已經停用,硬件已经禁用,hadware is disabled,
半形,半角,half-shaped,
句柄,句柄,handle,參考 file handle 項目
處理,处理,handle,
處理常式,处理函数,handler,
處理鎖定衝突,处理锁定冲突,handling Locking Conflicts,
交握協定,交握协议,handshaking,
全形韓文,全角韩文,hangul Full,
硬式編碼,硬式编码,hard-code,
硬碟機,硬盘驱动器,harddisk drive,
硬碟,硬盘,harddisk,
硬體,硬件,hardware,
哈姆雷特,漢姆雷特,harmlet,
雜湊演算法,散算法,hash algorithm,
雜湊多重集,散多重集,hash multiset,
雜湊數,散数,hash number,
雜湊表,散列表,hash table,
雜湊值,散值,hash value,
規劃的圖樣,规划的图样,hatched pattern,
標頭,标头,head,
讀寫頭,读写头,head,
標頭控制項,标头控件,header control,
標頭檔案,标头文件,header file,
前置資料,前置数据,header,
頁首,页首,header,
標題,标题,headline,
堆分派,堆分派,heap allocation,
堆,堆,heap,
高度,高度,height,
幫助主題代碼:,帮助主题代码:,help Context ID:,
幫助檔案,帮助文件,help File,
幫助主題代碼,帮助主题代码,help context,
幫助檔案,帮助文件,help file,
幫助對映檔案,帮助映射文件,help map file,
幫助概觀,帮助概观,help overview,
幫助專案檔案,帮助项目文件,help project file,
幫助搜尋程式,帮助查找程序,help search program,
選擇幫助,帮助选择,help selection,
幫助主題,帮助主题,help topic,
幫助主題,帮助主题,help topics,
幫助!,帮助!,help!,
幫助(&H),帮助(&H),help(&H),
Helper 函式,Helper 函数,helper function,
Helper 物件,Helper 对象,helper object,
異質性,异质性,heterogeneous,
16 進位傾印,16 进制倾印,hex dump,
十六進位,十六进制,hexadecimal,
16 進位,16 进制,hexdecimal,
HHCtrl 物件,HHCtrl 对象,hhctrl object,
高級,高档,hi-end,
隱藏文字,隐藏文字,hidden text,
隱藏,隐藏,hidden,檔案屬性attribute
隱藏下落式陰影,隐藏下落式阴影,hide drop-Shadows,
階層式 FlexGrid,阶层式 FlexGrid,hierarchical FlexGrid,
階層體系,层次体系,hierarchy,
高位元,高位,high bit,
高序位,高序位,high order,
高序位文字,高序位文字,high-order word,
高階,高端,highend,
高亮度顯示文字,高亮显示文字,highlight Text,
高亮度,高亮,highlight,
高亮度顯示,高亮显示,highlighting,
歷史,历史,history,
叫用次數,叫用次数,hit count,
點擊測試,点击测试,hit testing,
點擊測試程式碼,点击测试代码,hit-test code,
全像,全像,hologram,
主目錄,主目录,home directory,
首頁,主页,home page,
攔截函式,拦截函数,hook function,
攔截程序,拦截程序,hook procedure,
水平百葉窗,水平百叶窗,horizontal Blinds,
水平間距,水平间距,horizontal Spacing,
水平並排,水平平铺,horizontal Tile,
水平線,水平线,horizontal line,
水平捲軸,水平滚动条,horizontal scroll bar,
主應用程式,主应用程序,host application,
主機,主机,host,
裝載,装载,host,
裝載控制項,装载控件,hosted control,
裝載資訊,装载信息,hosting Information,
裝載能力,装载能力,hosting capabilities,
主電腦名稱,主机名,hostname,
熱鈕,热钮,hot button,
熱鍵,热键,hot key,
作用點,作用点,hot spot,
快速鍵,热键,hotkey,
熱鍵,热键,hotkey,
時,时,hour,
沙漏游標,沙漏光标,hourglass cursor,
如何使用說明,如何使用帮助,how to use help,
HTML 布局檔案,HTML 布局文件,html Layout Files,
HTTP 伺服器,HTTP 服务器,http server,
HTTP,HTTP,http,
超文字傳輸通訊協定 (HTTP),超文字传输协议 (HTTP),http,
集線器,集线器,hub,
色調,色调,hue,
超大,超大,huge,
人們可讀取的,人们可读取的,human-readable,
超連結位址,超链接地址,hyperlink address,
超連結基底,超链接基底,hyperlink base,
超連結,超链接,hyperlink,
超文字標記語言 (HTML),超文字标志语言 (HTML),hypertext Markup Language,
超文字傳輸協定 (HTTP),超文字传输协议 (HTTP),hypertext Transfer Protocol,
超文字連結,超文字链接,hypertext link,
超文字參考,超文字参考,hypertext reference,
圖示列,图标栏,icon bar,
圖示檔案,图标文件,icon file,
圖示資源,图标资源,icon resource,
圖示,图标,icon,
iD,iD,id,
整合開發環境,集成开发环境,ide,
識別項文字,标识符文字,identifier Text,
識別碼前置詞,标识码前置词,identifier prefix,
未指定類型的識別項,未指定类型的标识项,identifier without type suffix,
識別項,标识符,identifier,
識別碼,标识代码,identifier,
識別,标识,identify,
識別值增量,标识值增量,identity increment,
識別分割,标识分割,identity partitioning,
識別值種子,标识值种子,identity seed,
閒置感應器,空閑感应器,idle sensor,
閒置狀態,空閑状态,idle state,
閒置時間,空閑时间,idle time,
閒置,空閑,idle,
IIS 應用程式根目錄,IIS 应用程序根目录,iis application root,
非法的,非法的,illegal,
影像圖庫,影像图库,image Gallery,
映像基底,映像基底,image base,
圖像檔案,图象文件,image file,
影像清單,影像列表,image list,
圖像對映,图象映射,image map,
影像,影像,image,
ImageContext,ImageContext,imageContext,
IME 組字視窗,IME 组字窗口,ime composition window,
IME,IME,ime,
輸入法,键入法,ime,
即時運算視窗,即时生成窗口,immediate Window,
直接引數,直接参量,immediate argument,
直接上層基類,直接上层基类,immediate base,
直接下層派生類,直接下层派生类,immediate derived,
立即演算上色,立即渲染,immediate rendering,
即時陳述式,即时陈述式,immediate statements,
Impersonation Token,Impersonation Token,impersonation token,
實作介面精靈,实现介面向导,implement Interface Wizard,
實作介面,实现介面,implement Interface,
實作,实现,implementation,
由實作環境決定,由实现环境决定,implementation-defined,
實作介面,实现介面,implemented Interfaces,
實作器,实现器,implementer,
實作項,实现项,implementor,
隱含連結,隐含链接,implicit linking,
隱含參考,隐含参考,implicit reference,
隱喻的、暗自的、隱式,隐式,implicit,
匯入資料庫模板,导入数据库模板,import Database Template,
匯入檔案,导入文件,import file,
匯入函式,导入函数,imported function,
正在進行,正在进行,in progress,
In-Memory 檔案,In-Memory 文件,in-memory file,
就地活化,就地激活,in-place activation,
就地活化,就地激活,in-place active,
當地按鈕,当地按钮,in-place button,
同進程元件,同进程组件,in-process component,
同進程偵錯,同进程调试,in-process debugging,
同進程伺服器,同进程服务器,in-process server,
同進程,同进程,in-process,
非作用中,非活动,inactive,
英吋,英寸,inch,
Include 路徑,Include 路径,include Path,
Inlcude 檔案,Inlcude 文件,include file,
Include 陳述式,Include 陈述式,include statements,
包含子資料夾,包含子文件夹,include subfolders,
遞增運算子 (++),升序操作符 (++),increment (++),
累加運算子,增加运算符,increment operator,
累加搜尋:,累加查找:,incremental Search:,
累加建置,累加编译版,incremental build,
累加連結,累加链接,incremental link,
累加連結器,累加链接器,incremental linker,
累加狀態檔案,累加状态文件,incremental status file,
縮排,缩排,indent,
獨立軟體廠商 (ISV),独立软件厂商 (ISV),independent Software Vendor,
索引循序存取方法 (ISAM),索引循序访问方法 (ISAM),index Sequential Access Method,
說明索引,帮助主题,index,
索引檢視,索引查看,indexed view,
索引子傳回類型,索引符传回类型,indexer return type,
索引子,索引符,indexer,
指示區邊界,指示区边界,indicator margin,
指示器,指示器,indicator,
間接記憶體定址運算元,间接内存编址生成元,indirect memory operand,
間接取值運算子 (*),间接取值操作符 (*),indirection (*),
間接取值,间接取值,indirection,
推斷規則,推断规则,inference rule,
無限遞迴,无限递回,infinite recursion,
無限大,无穷大,infinite,
中置標記法,中置标志法,infix notation,
資訊,信息,infomation,info: 信息 message: 消息
資訊內容,信息内容,information context,
資訊流程,信息流程,information flow,
資訊模型,信息模型,information model,
資訊,信息,information,
繼承循環,继承循环,inheritance cycle,
繼承階層架構,继承阶层架构,inheritance hierarchy,
繼承,继承,inheritance,
初始容量,初始容量,initial capacity,
初始化檔案,初始化文件,initialization file,
初始化的,初始化的,initialized,
初始設定式,初始设置式,initializer,
初始化傳真,初始化传真,initializing fax,
行內組合語言,内联汇编语言,inline assembler,
行內組譯程式碼,内联组译程序代码,inline assembly code,
行內展開,内联展开,inline expansion,
行內檔案,内联文件,inline file,
行內函式,内联函数,inline function,
行內腳本,内联脚本,inline script,
行內樣式,内联样式,inline style,
行內,内联,inline,
內部類別,内部类,inner classes,
內部例外,内部例外,inner exception,
內部聯結,内部联结,inner join,
輸入焦點,键入焦点,input focus,
輸入法 (IME),键入法 (IME),input method editor,
輸入來源,键入源,input source,
查詢,查询,inquire,
插入欄,插入栏,insert column,
插入檔案,插入文件,insert file,
插入,插入,insert into,
插入查詢,插入查询,insert query,
插入結果,插入结果,insert result,
插入值查詢,插入值查询,insert values query,
插入,插入,insert,
可插入的物件,可插入的对象,insertable objects,
引入運算子 (<<),引入操作符 (<<),insertion (<<),
內部程序,内部程序,inside procedure,
內實線,内实线,inside solid,
Inside-Out,Inside-Out,inside-out,
安裝/移除,安装/删除,install/remove,
Installer,Installer,installer,
正在安裝離線複製,正在安装离线复制,installing offline replication,
實體句柄,实例句柄,instance handle,
實體方法,实例方法,instance method,
實體變數,实例变量,instance variable,
實體,实例,instance,根據某種表述而實際產生的東西 常應用於 template
實體模型,实例模型,instancing models,
實體控制項,实例控件,instantiate live Controls,
實體樣板,具现样板,instantiate template,
實體化,实例化,instantiated,
實體化,实例化,instantiation,
電子電機工程師協會 (IEEE),电子电机工程师协会 (IEEE),institute of Electrical and Electronics Engineers,
命令排程,命令计划,instruction scheduling,
int 類型,int 类型,int type,
整數類型,整数类型,integer type,
整數,整数,integer,
整數類資料類型,整数类数据类型,integral type,
整體服務數位網路 (ISDN),整体服务数位网络 (ISDN),integrated Services Digital Network,
整合式開發環境,集成式开发环境,integrated development environment,
完整性,完整性,integrity,
完整性,完整性,integrity,內容、壓縮檔案的完整性
互動使用者,互动用户,interactive user,
交談式,交互式,interactive,
攔截器,拦截器,interceptor,
互相連線方案,连接架构,interconnection scheme,
介面定義語言 (IDL),介面定义语言 (IDL),interface Definition Language,
介面識別項 (IID),介面标识项 (IID),interface ID,
介面檔案,介面文件,interface file,
介面識別碼,介面标识码,interface identifier,
介面,介面,interface,
介面類型,介面类型,interface-type,
積體電路,集成电路,intergrated circuit,
內景色彩,内景颜色,interior color,
中繼目錄,中继目录,intermediate Directory,
中繼事件,中继事件,intermediate Events,
中繼語言,中继语言,intermediate language,
內部錯誤,内部错误,internal error,
內部連結,内部链接,internal linkage,
實質報酬率,实质报酬率,internal rate of return,
內部的,内部的,internal,
國際設定值,国际设置数值,international Settings,
網際網路控制訊息通訊協定,互联网控制消息协议,internet Control Message Protocol,
網際網路工程任務推動小組,互联网工程任务推动小组,internet Engineering Task Force,
Internet 通訊協定,Internet 协议,internet Protocol,
多人線上交談系統 (IRC),多人在线交谈系统 (IRC),internet Relay Chat,
Internet 伺服器應用程式發展介面 (ISAPI),Internet 服务器应用程序发展介面 (ISAPI),internet Server Application Programming Interface,
Internet 服務供應商 (ISP),Internet 服务供应商 (ISP),internet Service Provider,
Internet 封裝,Internet 封装,internet packages,
Internet 伺服器擴充 DLL,Internet 服务器扩充 DLL,internet server extension DLL,
Internet 伺服器擴充功能,Internet 服务器扩充功能,internet server extensions,
Internet 伺服器篩選常式,Internet 服务器过滤常式,internet server filter,
Internet,Internet,internet,
網際網路,互联网,internet,
網際網路,互联网,internet,
Interop 包裝函式,Interop 包装函数,interop wrapper,
互通性,互通性,interoperability,
交互操作性,交互操作性,interoperability,
解譯器,解译器,interpreter,
插斷,中断,interrupt,
交集,交集,intersection,
線程交互封送,线程交互封送,interthreaded marshaling,
間隔,间隔,interval,
Intranet,Intranet,intranet,
內建常數,内置常量,intrinsic constant,
內建控制項,内置控件,intrinsic control,
內建函式,内置函数,intrinsic function,
無效字元,字符无效,invalid character,
檔名無效,非法文件名,invalid filename,
檔案名稱無效,非法文件名,invalid filename,
無效分頁錯誤,无效分页错误,invalid page faults,
無效,无效,invalid,
無效的,无效的,invalid,
不因國別而異,不因国别而异,invariant Country,
不因語言而異,不因语言而异,invariant Language,
不變量運算式,不变量表达式,invariant expression,
不可見的,不可见的,invisible,
調用,调用,invoke,
IP 位址,IP 地址,ip address,
IP 編號,IP 编号,ip number,
ISAPI 擴充程式精靈,ISAPI 扩充程序向导,isapI Extension Wizard,
ISAPI 篩選常式,ISAPI 筛选常式,isapI filter,
隔離儲存區,隔离保存区,isolated storage,
隔離儲存體,隔离保存体,isolated storage,
隔離等級,隔离等级,isolation Level,
問題詳細資料表單,问题详细数据表单,issue Details form,
問題,问题,issue,
發照者,发行人,issuer,
問題清單,问题列表,issues list,
義大利,意大利,italian,
項目目錄,项目目录,item Directory,
項目副檔名,项目副文件名,item Extension,
項目檔案名稱,项目文件名,item File Name,
項目路徑,项目路径,item Path,
項目,项目,items,
迭代,迭代,iterate,迴圈逐次輪迴地進行
迭代,迭代,iteration,迴圈每次輪迴稱 iteration
迭代的,迭代的,iterative,
迭代器,迭代器,iterator,一種通用指標
不規則陣列,不规则数组,jagged array,
合併迴圈,合并回圈,jam loops,
JIT 編譯器,JIT 编译器,jit compiler,
JIT 偵錯,JIT 调试,jit debugging,
聯結條件,联结条件,join condition,
聯結線,联结线,join line,
聯結運算子,联结运算符,join operator,
搖桿,游戏杆,joystick,
跳躍陳述式,跳跃陈述式,jump statement,
跳躍點,跳跃点,jump,
聯合資料表,联合数据表,junction table,
半形片假名,半角片假名,katakana Half,
保留簽出,保留签出,keep Checked Out,
核心,核心,kernel,
水平與垂直緊排,水平与垂直紧排,kerning & leading,
金鑰組,金钥组,key Pairs,
輸入,键入,key in,
機碼設定,机码设置,key setting,
關鍵值,关键值,key value,
金鑰,金钥,key,
索引鍵,索引键,key,
機碼,机码,key,
鍵盤語系及布局,键盘语言及布局,keyboard language and layout,
鍵盤布局檔案,键盘布局文件,keyboard layout file,
鍵盤布局,键盘布局,keyboard layout,
去背效果,去背效果,keyer effects,
數字鍵台,数字键台,keypad,
索引鍵,索引键,keys,
索引鍵集,索引键集,keyset,
關鍵字編輯器,关键字编辑器,keyword tditor,
關鍵字文字,关键字文字,keyword text,
關鍵字,关键字,keyword,
知識庫文件,知识库文件,knowledge Base article,
知識庫,知识库,knowledge base,
知識工作者,知识工作者,knowledge worker,
標籤磁碟,标签磁盘,label disk,
標記陳述式,标志陈述式,labeled statement,
蕾絲,花边,lace,
橫印,横向,landscape,只用於列印動作
語言項目,语言项目,language element,
語言對等用法,语言对等用法,language equivalents,
語言識別碼,语言标识码,language identifier,
語言中性,语言中性,language neutral,
語言,语言,language,
大圖示,大图标,large icons,
大型積體電路,大规模集成电路,large intergrated circuit,
雷射唱機,激光唱机,laser disk,
雷射,激光,laser,
上次修改日期,上次修改日期,last modified,
最後一筆,最后一条,last,
晚期繫結,晚期系结,late bound,
晚期繫結,晚期绑定,late-binding,
圖層,图层,layer,
層次視窗功能,层次窗口功能,layered windows feature,
布局檔案,布局文件,layout file,
記憶體布局,内存布局,layout of memory,
插槽布局,插槽布局,layout of slots,
布局,布局,layout,
前導位元組,前导字节,lead byte,
前置字元為零,前置字符为零,leading zero,
葉,叶,leaf,
普及版,普及版,learning Edition,
使用期,使用期,lease,
最小顯著性位元組,最小显著性字节,least significant byte,
向左鍵,向左键,left Arrow,
靠左對齊,左对齐,left justify,
向左鍵,向左键,left key,
左邊界,左边界,left margin,
滑鼠左鍵,鼠标左键,left mouse button,
左外部聯結,左外部联结,left outer join,
著作權,版权,legal copyright,
法律注意事項,法律注意事项,legal notice,
商標,商标,legal trademarks,
合法的,合法的,legal,
字母,字母,letter,
層級,级别,level,
語彙分析器,语汇分析器,lexer,
語彙分析,语汇分析,lexical analyzer,
語彙範圍,语汇范围,lexical scope,
管理器,管理器,librarian,
程式庫檔案,库文件,library file,
程式庫版本,库版本,library version,
程式庫,库,library,
授權合約,授权合约,license Agreement,
授權協議,自述文件,license agreement,
授權/使用權,授权/使用权,license,
免付費之授權 ActiveX 控制項,免付费之授权 ActiveX 控件,license-free ActiveX controls,
授權給,使用权属于,licensed to,
授權處理器,授权处理器,licenses Processor,
Licenses 集合,Licenses 集合,licenses collection,
授權機制,授权机制,licensing scheme,
授權,授权,licensing,
生命期,生命期,lifetime,
輕量控制項,轻量控件,light-weight control,
輕量型遠端程序呼叫,轻量型远程程序调用,lightweight Remote Procedure Call,
輕量,轻量,lightweight,
限制,限制,limit,
行分隔符號,行分隔符号,line Separator,
分行符號,分行符号,line break,
程式行計數,程序行计数,line counting,
程式行涵蓋範圍,程序行涵盖范围,line coverage,
下移一行,下移一行,line down,
行尾結束符號,行尾退出符号,line endings,
行號,行号,line number,
程式概況表,程序概况表,line profiling,
線,线,line,
橫列,行,line,
行接續字元,行接续字符,line-continuation character,
換行字元,回车符,linefeed character,
換行鍵,换行键,linefeed,
連結檔案,链接文件,link File,
連結時產生程式碼,链接时产生代码,link Time Code Generation,
連結圖表,链接图表,link diagram,
連結格式,链接格式,link format,
連結物件,链接对象,link object,
連結來源,链接源,link source,
連結時間,链接时间,link time,
連結,链接,link,
連繫規格,连系规格,linkage specification,
連結資料表管理器,链接数据表管理器,linked Table Manager,
連結項目,链接项目,linked item,
連結串列,链接串列,linked list,
連結化物件,链接化对象,linked object,
連結樣式工作表,链接样式工作表,linked style sheets,
連結視窗框架,链接窗口框架,linked window frame,
連結視窗,链接窗口,linked windows,
連結器,链接器,linker,
連結與嵌入,链接与嵌入,linking and embedding,
連結程式庫,链接库,linking library,
列出說明主題,帮助主题列表,list help topic,
清單檢視控制項,列表查看控件,list view control,
清單,列表,list,
清單方塊控制項,列表方块控件,list-box control,
清單索引,列表索引,listIndex,
聽取模式,接听模式,listen mode,
接聽應用程式,接听应用程序,listener application,
接聽服務,接听服务,listener service,
接聽項,接听项,listener,
列出說明主題,帮助主题列表,lists Help topics,
字面常數,字面常数,literal constant,如 3.14 這種常數值
常值,常值,literal,
載入行為,载入行为,load behavior,
載入有效位址命令,载入有效地址命令,load effective address instruction,
載入因子,载入因子,load factor,
載入圖示,载入图标,load icon,
視需要載入,视需要载入,load on demand,
啟動時載入,启动时载入,load on startup,
載入調色盤,载入调色板,load palette,
載入圖片,载入图片,load picture,
載入時間,载入时间,load time,
載入狀態,载入状态,loaded state,
已載入,已载入,loaded,
載入/卸載,载入/卸载,loaded/unloaded,
正在載入,正在载入,loading,
本機 Web 應用程式,本机 Web 应用程序,local Web application,
本機 Web 伺服器,本机 Web 服务器,local Web server,
區域類別,区域类,local class,
本機檔案,本机文件,local file,
區域網路,局域网,local lan,
本機電腦,本机计算机,local machine,
本機模式,本机模式,local mode,
區域物件,区域对象,local object,
本地路徑,本地路径,local path,
本機連接埠,本地端口,local port,
本機專案,本机项目,local project,
本機遠端程序呼叫,本机远程程序调用,local remote procedure call,
區域範圍,区域范围,local scope,
本機伺服器,本机服务器,local server,
區域變數,区域变量,local variable,
local,local,local,
本地,本地,local,
本機,本机,local,
區域,区域,local,
區域性的,局部的,local,（對應於 global）
地區設定識別碼,地区设置标识码,locale identifier,
地區設定,地区设置,locale,
地區設定特性,地区设置特性,locale-specific,
地區設定識別碼 (LocaleID),地区设置标识码 (LocaleID),localeID,
可本地化,可本地化,localizable,
本地化,本地化,localization,
本地化,本地化,localize,
本地化檔案,本地化文件,localized file,
本機的快取資源,本机的缓存资源,locally cached copy,
區域變數,区域变量,locals,
位置方塊,位置方块,location box,
位置中斷點,位置中断点,location breakpoint,
位置資訊,位置信息,location information,
位置,位置,location,
鎖定控制項,锁定控件,lock controls,
鎖定計數,锁定计数,lock count,
鎖定專案,锁定项目,lock project,
鎖定,锁定,lock,
鎖定類型,锁定类型,lockType,
鎖定資訊檔案,锁定信息文件,locking information file,
鎖定模式,锁定模式,locking mode,
鎖定違規,锁定冲突,locking violation,
日誌檔案檢視器,日志文件查看器,log Viewer,
日誌檔案,日志文件,log file,
對數,对数,logarithm,
日誌檔案,日志文件,logfile,
邏輯錯誤,逻辑错误,logic error,
邏輯筆刷,逻辑笔刷,logical brush,
邏輯色板,逻辑色板,logical color palette,
邏輯連接,逻辑连接,logical connection,
邏輯座標系統,逻辑座标系统,logical coordinate system,
邏輯分離,逻辑分离,logical disjunction,
邏輯等價,逻辑等价,logical equivalence,
邏輯字型,逻辑字体,logical font,
邏輯隱含式,逻辑隐含式,logical implication,
邏輯程式敘述行,逻辑程序叙述行,logical line,
邏輯運算子,逻辑运算符,logical operator,
邏輯移位,逻辑移位,logical shift,
邏輯單位,逻辑单位,logical unit,
邏輯檢視,逻辑查看,logical view,
登入,登录,login,
登出,注销,logout,
長日期格式,长日期格式,long date fomat,
長檔名,长文件名,long filename,
長整數,长整数,long integer,
長指標,长指标,long pointer,
長變數,长变量,long varchar,
長整數,长整数,long,
外觀瀏覽器,外观浏览器,look browser,
外觀編輯器,外观编辑器,look editor,
查閱資料表,查看数据表,lookup table,
查閱,查阅,lookup,
迴圈結構型式,回圈结构型式,loop construction,
迴圈運算外提,回圈生成外提,loop hoisting,
迴圈合併,回圈合并,loop jamming,
迴圈最佳化,回圈优化,loop optimization,
迴圈,回圈,loop,
循環,循环,loop,
鬆開,松开,loosen,
重要遺漏,重要遗漏,loss of significance,
低序位,低序位,low order,
低階,低端,lowend,
下限,下限,lower bound,
照度,照度,lum,
照度,照度,luminance,
機器資料來源名稱,机器数据源名称,machine DSN,
機器碼,机器码,machine code,
麥金塔資源編譯器,麦金塔资源编译器,macintosh Resource Compiler,
麥金塔二進位資源檔案,麦金塔二进制资源文件,macintosh binary resource file,
巨集總管,宏管理器,macro Explorer,
巨集定義,宏定义,macro definition,
巨集展開,宏展开,macro expansion,
巨集,宏,macro,
巨集對話方塊,宏对话框,macros Dialog,
放大,放大,magnify,
信件,邮件,mail,
MailItem 物件,MailItem 对象,mailItem object,
信件匣,邮件匣,mailbox,
主資料表選取對話方塊,主数据表选定对话框,main Table Selection dialog box,
主應用程式視窗,主应用程序窗口,main application window,
主控制卡,主机控制器,main controller,
主框架視窗,主框架窗口,main frame window,
主記憶體,主存,main memory,
主訊息迴圈,主消息回圈,main message loop,
主要途徑,主渠道,main route,
主資料表,主数据表,main table,
主線程,主线程,main thread,
主電腦,主机,mainframe,
維護公用程式,维护公用程序,maintenance Utility,
主要版本號碼,主要版本号码,major version number,
主號,主号,major,
製做增益功能,制做增益功能,make Add-in,
設定成相同高度,设置成相同高度,make Same Height,
設定成相同水平間距,设置成相同水平间距,make Same Horizontal Spacing,
製做相同大小,制做相同大小,make Same Size,
製做資料表查詢,制做数据表查询,make Table query,
製做資料表,制做数据表,make Table,
製做電影,制做电影,make movie,
製作開機磁碟,制作开机磁盘,make system Disk,
Makefile 專案精靈,Makefile 项目向导,makefile Project Wizard,
Makefile,Makefile,makefile,
管理器,管理器,manager,manager: 管理器(對物) administrator: 管理人(對人) supervisor: 監督人
管理交易,管理交易,managing Transactions,
國語,普通话,mandarian,
明示常數,明示常量,manifest constant,
手動組態,手动配置,manual configuration,
手動,手工,manual,
製造廠商,制造商,manufacture,
製造商,制造商,manufacturers,
多對多關聯性,多对多关联性,many-to-many relationship,
對應檔案,映射文件,map file,
對應網路磁碟機,映射网络驱动器,map network Drive,
對應網路磁碟機,映射网络驱动器,map network drive,
對應網路資訊,映射网络资源,map network resource,
對應網路,映射网络,map network,
對應檔案,对应文件,mapfile,
對映,映射,mapping,
邊界指示區,边界指示区,margin indicator,
邊界,边界,margins,
標記的,标志的,marked,
資料標記,数据标志,marker,
跑馬燈控制項,跑马灯控件,marquee control,
封送處理,封送处理,marshaling,
遮罩點陣圖,掩码位图,mask bitmap,
遮罩工作區,掩码工作区,mask region,
遮罩,掩码,mask,
格式編輯控制項,格式编辑控件,maskEdBox,
格式編輯控制項,格式编辑控件,masked edit control,
大型存放裝置,大型存放设备,mass storage device,
大小寫須相符,大小写须相符,match Case,
前綴須相符,前缀须相符,match prefix,
子字串須相符,子字符串须相符,match substring,
數學的,数学的,mathematical,
最大化按鈕,最大化按钮,maximize button,
將視窗放到最大,将窗口放大到实际尺寸,maximize window,
放到最大,最大化,maximize,
最大化視窗,最大化窗口,maximized window,
容量上限,最大空间,maximum size,
